Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Component/s,Due Date,Votes,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (End Date),Custom field (Epic Link),Custom field (Error Type),Custom field (Expected Result),Custom field (Found by),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Solution),Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (TestLink case),Custom field (Time Category),Custom field (Type of engagement),Custom field (URL),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment
Greetings: Time is out: Group is not displayed in the greetings when I select a group and save it,QATC-811961,3483281,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,26/Jul/23 8:25 PM,27/Jul/23 2:29 AM,17/Nov/23 8:49 PM,27/Jul/23 2:29 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open the Get personal apps
 # Tap on Greetings
 # Tab on Time is out
 # Select a group
 # Tap on save
 # Back to the Greetings window
 # Observed the result

*Actual Result:* Group is not displayed in the greetings when I select a group and save it

*Expected Result:* Selected group should be displayed in the greetings window when the user selects a group and save it.","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 8:24 PM;m.foysal;Selected group is not displayed in the greetings.mp4;https://jira.a1qa.com/secure/attachment/2389044/Selected+group+is+not+displayed+in+the+greetings.mp4","26/Jul/23 8:24 PM;m.foysal;Selected group is not displayed in the greetings.txt;https://jira.a1qa.com/secure/attachment/2389043/Selected+group+is+not+displayed+in+the+greetings.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idgz2f:",9223372036854775807,,,,,,,3-Average,,,,,,,,,,,,,,,,,,
Get Personal: Apps name is displayed Get Personal instead of Voicemail,QATC-811959,3483274,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Duplicate,,m.foysal,m.foysal,26/Jul/23 8:15 PM,27/Jul/23 2:30 AM,17/Nov/23 8:49 PM,27/Jul/23 2:30 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Install the application
 # Observed the application name

*Actual Result:* Apps name is displayed Get Personal instead of Voicemail

*Expected Result:* Apps name should be displayed Voicemail","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 8:15 PM;m.foysal;app name.jpg;https://jira.a1qa.com/secure/attachment/2389033/app+name.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgz0v:",9223372036854775807,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,
Quick Status: Quick status is hearing the user device instead of the recipient when the recipient call to the user,QATC-811935,3483182,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,26/Jul/23 6:40 PM,27/Jul/23 2:28 AM,17/Nov/23 8:49 PM,27/Jul/23 2:28 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on Quick status
 # Check the radio button on Bob
 # Wait for a call
 # Observed the result

*Actual Result:* Quick status is hearing the user device instead of the recipient when the recipient call to the user

*Expected Result:* The recipients will hear the status recording when they call the user.

 ","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 6:40 PM;m.foysal;Quick status is not hearing recipient device.mp4;https://jira.a1qa.com/secure/attachment/2388950/Quick+status+is+not+hearing+recipient+device.mp4","26/Jul/23 6:40 PM;m.foysal;Quick status is not hearing recipient device.txt;https://jira.a1qa.com/secure/attachment/2388949/Quick+status+is+not+hearing+recipient+device.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idgygn:",9223372036854775807,,,,,,,1-Critical,,,,,,,,,,,,,,,,,,
Greetings: Greeting is hearing the user device instead of the recipient when the recipient call to the user,QATC-811933,3483168,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,26/Jul/23 6:26 PM,27/Jul/23 2:26 AM,17/Nov/23 8:49 PM,27/Jul/23 2:26 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Make sure that active service is turned on(Check on Setting)
 # Tap on Greetings
 # Toggle on Shazzad greetings
 # Wait for recipient's call
 # Observed the result

*Actual Result:* Greeting is hearing the user device instead of the recipient when the recipient call to the user

*Expected Result:* Greetings should be heard in the recipient's device when he calls the user.

*Additional Information:* When choosing a specific time From 5:23 PM to 5:30 PM the greetings are not working.","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 6:22 PM;m.foysal;Greeting is hearing users phone.mp4;https://jira.a1qa.com/secure/attachment/2388943/Greeting+is+hearing+users+phone.mp4","26/Jul/23 6:25 PM;m.foysal;Greeting is hearing users phone.txt;https://jira.a1qa.com/secure/attachment/2388942/Greeting+is+hearing+users+phone.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idgydj:",9223372036854775807,,,,,,,1-Critical,,,,,,,,,,,,,,,,,,
Greetings: Spaces are not truncated when saving the greeting,QATC-811910,3483072,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,26/Jul/23 4:34 PM,27/Jul/23 2:25 AM,17/Nov/23 8:49 PM,27/Jul/23 2:25 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on Hello
 # Tap on title and add some blank new line
 # Tap on save button
 # Observed the result

*Actual Result:* Spaces are not truncated when saving the greeting

*Expected Result:* Spaces should be truncated when saving the greeting

*Additional Information:* This issue is the same for Quick status","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 4:34 PM;m.foysal;Spaches are not truncated.mp4;https://jira.a1qa.com/secure/attachment/2388886/Spaches+are+not+truncated.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgxt3:",9223372036854775807,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,
Greetings: New 1: Apps Language is changed when the device changes the region and language,QATC-811866,3482915,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,26/Jul/23 1:42 PM,27/Jul/23 2:25 AM,17/Nov/23 8:49 PM,27/Jul/23 2:25 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on Greetings
 # Observed the toggle language
 # Observed the day language
 # Tap on Meeting Greeting
 # Observed the Recording time
 # Observed the Time picker window

*Actual Result:* Apps Language is changed when the device changes the region and language

*Expected Result:* Apps language should be unchanged when the device changes the region and language","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 1:41 PM;m.foysal;changing the region and language.mp4;https://jira.a1qa.com/secure/attachment/2388733/changing+the+region+and+language.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgwv3:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,
Greetings: Create new Greetings: Apps change the time format when changing the time format from android system,QATC-811862,3482904,Bug,Open,QATC,Training Center,software,a.golubovich,,,Major,,,m.foysal,m.foysal,26/Jul/23 1:26 PM,26/Jul/23 1:26 PM,17/Nov/23 8:49 PM,,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on Greetings
 # Tap on New 1
 # Tap time from and to
 # Observed the result
 # Change the time format from 12h to 24h from device setting
 # Repeat 1 to 4 steps 
 # Observed the result

{*}Actual Result{*}: Apps change the time format when changing the time format from android system

*Expected Result:* The time format should be the same when changed the device time format","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 1:24 PM;m.foysal;Time zone change.mp4;https://jira.a1qa.com/secure/attachment/2388725/Time+zone+change.mp4","26/Jul/23 1:24 PM;m.foysal;Time zone change.txt;https://jira.a1qa.com/secure/attachment/2388724/Time+zone+change.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idgwsv:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,
Greetings: Some greeting is toggle on and off automatically when scroll ups ad down,QATC-811860,3482897,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Duplicate,,m.foysal,m.foysal,26/Jul/23 1:14 PM,27/Jul/23 2:24 AM,17/Nov/23 8:49 PM,27/Jul/23 2:24 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on Greetings
 # Turn Off all Greetings
 # Scroll-ups and down
 # Observed the result

{*}Actual Result{*}: Some greeting is toggle on and off automatically when scroll ups ad down

*Expected Result:* Greetings shouldn't be toggled on and off automatically when scroll ups and down","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"26/Jul/23 1:14 PM;m.foysal;Gteetings automatcally turned on and off.mp4;https://jira.a1qa.com/secure/attachment/2388717/Gteetings+automatcally+turned+on+and+off.mp4","26/Jul/23 1:14 PM;m.foysal;Gteetings automatcally turned on and off.txt;https://jira.a1qa.com/secure/attachment/2388716/Gteetings+automatcally+turned+on+and+off.txt",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,"0|idgwrb:",9223372036854775807,,,,,,,2-Major,,,,,,,,,,,,,,,,,,
Greeting: New1: Select Recepient: The window is displayed Get Personal Title instead of Select Recepient,QATC-811816,3482790,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,25/Jul/23 10:55 PM,27/Jul/23 2:23 AM,17/Nov/23 8:49 PM,27/Jul/23 2:23 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get personal Apps
 # Tap on Greeting
 # Tap on New 1 greeting
 # Tap on Select a recipient
 # Observed the window

*Actual Result:* The window is displayed Get Personal Title instead of Select Recepient

*Expected Result:* The window should be displayed Select Recipient","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"25/Jul/23 10:54 PM;m.foysal;Select recipient is displayed.mp4;https://jira.a1qa.com/secure/attachment/2388619/Select+recipient+is+displayed.mp4","25/Jul/23 10:52 PM;m.foysal;Select recipient should be displayed.jpg;https://jira.a1qa.com/secure/attachment/2388620/Select+recipient+should+be+displayed.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgw3r:",9223372036854775807,,,,,,,5-Enhancement,,,,,,,,,,,,,,,,,,
Greeting: Create new Greeting: The save button icon is displayed on the left side instead of with save text,QATC-811813,3482785,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,25/Jul/23 10:47 PM,27/Jul/23 2:23 AM,17/Nov/23 8:48 PM,27/Jul/23 2:23 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on Greeting
 # Tap on Create New Greeting
 # Tap on the record icon
 # Tap on the Check mark button
 # Observed the button 

*Actual Result:* The save button icon is displayed on the left side instead of with save text

*Expected Result:* The save button icon should be displayed properly. According to the design.

*Additional Information:* Open any previously saved Greeting or Quick status The save button ,delete button, discard button has the same issue","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"25/Jul/23 10:47 PM;m.foysal;Apps button displayed.mp4;https://jira.a1qa.com/secure/attachment/2388610/Apps+button+displayed.mp4","25/Jul/23 10:43 PM;m.foysal;save and delete greeting button.jpg;https://jira.a1qa.com/secure/attachment/2388613/save+and+delete+greeting+button.jpg","25/Jul/23 10:44 PM;m.foysal;save and delete status.jpg;https://jira.a1qa.com/secure/attachment/2388611/save+and+delete+status.jpg","25/Jul/23 10:43 PM;m.foysal;save and discard button.jpg;https://jira.a1qa.com/secure/attachment/2388612/save+and+discard+button.jpg",,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgw2n:",9223372036854775807,,,,,,,5-Enhancement,,,,,,,,,,,,,,,,,,
Greetings: Create new greeting is displayed “Get personal” title bar instead of “New Greetings” when tapping it,QATC-811812,3482779,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,25/Jul/23 10:34 PM,27/Jul/23 2:22 AM,17/Nov/23 8:49 PM,27/Jul/23 2:22 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get personal Apps
 # Tap on Greeting
 # Tap on Create New Greeting
 # Observed the window title

*Actual Result:* Create new greeting is displayed “Get personal” title bar instead of “New Greetings” when tapping it

*Expected Result:* Create  new greeting should be displayed New greeting when tapping on it","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"25/Jul/23 10:34 PM;m.foysal;apps greeting displayed.mp4;https://jira.a1qa.com/secure/attachment/2388605/apps+greeting+displayed.mp4","25/Jul/23 10:32 PM;m.foysal;New greeting displayed.jpg;https://jira.a1qa.com/secure/attachment/2388606/New+greeting+displayed.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgw1b:",9223372036854775807,,,,,,,5-Enhancement,,,,,,,,,,,,,,,,,,
Get Personal: No trial period message and purchase button are displayed when opening the application first time,QATC-811811,3482772,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,25/Jul/23 10:24 PM,27/Jul/23 2:21 AM,17/Nov/23 8:49 PM,27/Jul/23 2:21 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Install this application 
 # Open Get Personal Apps
 # Observed the window
 # There is no trial message 

*Actual result:*  No trial period message and purchase button are displayed when opening the application first time

*Expected Result:* The trial period message should be displayed also a purchase button when opening the application the first time","{*}OS{*}: Android, Version 12.0",,,,,,,,Leads and Reporter only,"25/Jul/23 10:23 PM;m.foysal;no trial message.jpg;https://jira.a1qa.com/secure/attachment/2388600/no+trial+message.jpg","25/Jul/23 10:23 PM;m.foysal;Trial message.jpg;https://jira.a1qa.com/secure/attachment/2388601/Trial+message.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgw07:",9223372036854775807,,,,,,,3-Average,,,,,,,,,,,,,,,,,,
Get Personal: Help: Help window is displayed “how to activate personal voicemail service” instead of How it works Greetings and Quick status,QATC-811810,3482768,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m.foysal,m.foysal,25/Jul/23 10:15 PM,27/Jul/23 2:20 AM,17/Nov/23 8:49 PM,27/Jul/23 2:20 AM,1.0,Voicemail,,0,"*Steps to reproduce:*
 # Open Get Personal Apps
 # Tap on top menu bar
 # Tap on Help
 # Observed the window

{*}Actual Result{*}: Help window is displayed “how to activate personal voicemail service” instead of How it works Greetings and Quick status.

*Expected Result:* The help window should be displayed How it works Greeting and Quick status.","*OS:* Android, Version 12.0",,,,,,,,Leads and Reporter only,"25/Jul/23 10:15 PM;m.foysal;Help is displayed.jpg;https://jira.a1qa.com/secure/attachment/2388599/Help+is+displayed.jpg","25/Jul/23 10:15 PM;m.foysal;Help should be displayed.jpg;https://jira.a1qa.com/secure/attachment/2388598/Help+should+be+displayed.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,"0|idgvzb:",9223372036854775807,,,,,,,3-Average,,,,,,,,,,,,,,,,,,
